Database	Gene	Serotype	Identity	Template / HSP length	Contig	Position in contig	Accession number	SRR6875375
H_type	fliC	H31	100.0	1668 / 1668	contig00022 len=55195 cov=34.6 corr=0 origname=NODE_22_length_55195_cov_34.632963_pilon sw=shovill-spades/1.0.9 date=20210126	21210..22877	CP000247	SRR10996852
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=643547 cov=38.9 corr=0 origname=NODE_1_length_643547_cov_38.908616_pilon sw=shovill-spades/1.0.9 date=20210126	57853..59091	AY568960	SRR10996852
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=643547 cov=38.9 corr=0 origname=NODE_1_length_643547_cov_38.908616_pilon sw=shovill-spades/1.0.9 date=20210126	55770..56957	AY568960	SRR10996852
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1178899 cov=22.9 corr=0 origname=NODE_1_length_1178899_cov_22.887790_pilon sw=shovill-spades/1.0.9 date=20210126	389671..391338	CP000247	SRR12845592
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1178899 cov=22.9 corr=0 origname=NODE_1_length_1178899_cov_22.887790_pilon sw=shovill-spades/1.0.9 date=20210126	558738..560180	AB812035	SRR12845592
H_type	fliC	H31	99.94	1668 / 1668	contig00001 len=611602 cov=20.2 corr=0 origname=NODE_1_length_611602_cov_20.247137_pilon sw=shovill-spades/1.0.9 date=20210127	427977..429644	CP000247	CVAST1624
O_type	wzx	O75	98.04	1533 / 1533	contig00004 len=462812 cov=20.6 corr=0 origname=NODE_4_length_462812_cov_20.616869_pilon sw=shovill-spades/1.0.9 date=20210127	420364..421896	GU299795	CVAST1624
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=598127 cov=22.3 corr=0 origname=NODE_1_length_598127_cov_22.319363_pilon sw=shovill-spades/1.0.9 date=20210127	208547..210214	CP000247	SRR9616063
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=598127 cov=22.3 corr=0 origname=NODE_1_length_598127_cov_22.319363_pilon sw=shovill-spades/1.0.9 date=20210127	39714..41156	AB812035	SRR9616063
O_type	wzy	O83	100.0	1236 / 1236	contig00001 len=598127 cov=22.3 corr=0 origname=NODE_1_length_598127_cov_22.319363_pilon sw=shovill-spades/1.0.9 date=20210127	41153..42388	AB812035	SRR9616063
H_type	fliC	H31	100.0	1668 / 1668	contig00006 len=215199 cov=23.9 corr=0 origname=NODE_6_length_215199_cov_23.900980_pilon sw=shovill-spades/1.0.9 date=20210126	58113..59780	CP000247	SRR1314585
O_type	wzy	O18	100.0	1191 / 1191	contig00001 len=406617 cov=22.3 corr=0 origname=NODE_1_length_406617_cov_22.297219_pilon sw=shovill-spades/1.0.9 date=20210126	8490..9680	GU299793	SRR1314585
O_type	wzy	O18ac	100.0	1146 / 1146	contig00001 len=406617 cov=22.3 corr=0 origname=NODE_1_length_406617_cov_22.297219_pilon sw=shovill-spades/1.0.9 date=20210126	8490..9635	AB811603	SRR1314585
O_type	wzx	O18ac	100.0	1248 / 1248	contig00001 len=406617 cov=22.3 corr=0 origname=NODE_1_length_406617_cov_22.297219_pilon sw=shovill-spades/1.0.9 date=20210126	9737..10984	GU299793	SRR1314585
H_type	fliC	H31	100.0	1668 / 1668	contig00028 len=53719 cov=36.7 corr=0 origname=NODE_28_length_53719_cov_36.742126_pilon sw=shovill-spades/1.0.9 date=20210126	32445..34112	CP000247	SRR8728086
O_type	wzx	O15	100.0	1245 / 1245	contig00024 len=59688 cov=38.2 corr=0 origname=NODE_24_length_59688_cov_38.180722_pilon sw=shovill-spades/1.0.9 date=20210126	57751..58995	AY647261	SRR8728086
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1563696 cov=20.5 corr=0 origname=NODE_1_length_1563696_cov_20.486078_pilon sw=shovill-spades/1.0.9 date=20210126	60668..62335	CP000247	AA23
O_type	wzx	O25	96.03	1260 / 1260	contig00002 len=487972 cov=21.6 corr=0 origname=NODE_2_length_487972_cov_21.644186_pilon sw=shovill-spades/1.0.9 date=20210126	432534..433793	GU014554	AA23
O_type	wzy	O25	95.67	1063 / 1062	contig00002 len=487972 cov=21.6 corr=0 origname=NODE_2_length_487972_cov_21.644186_pilon sw=shovill-spades/1.0.9 date=20210126	435946..437008	GU014554	AA23
H_type	fliC	H31	100.0	1668 / 1668	contig00037 len=28578 cov=24.4 corr=0 origname=NODE_37_length_28578_cov_24.395592_pilon sw=shovill-spades/1.0.9 date=20210127	19658..21325	CP000247	SRR12744071
O_type	wzx	O83	100.0	1310 / 1443	contig00004 len=338486 cov=23.7 corr=0 origname=NODE_4_length_338486_cov_23.652786_pilon sw=shovill-spades/1.0.9 date=20210127	337177..338486	AB812035	SRR12744071
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1075051 cov=28.8 corr=0 origname=NODE_1_length_1075051_cov_28.826179_pilon sw=shovill-spades/1.0.9 date=20210126	645409..647076	CP000247	MVC63
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=1075051 cov=28.8 corr=0 origname=NODE_1_length_1075051_cov_28.826179_pilon sw=shovill-spades/1.0.9 date=20210126	472171..473409	AY568960	MVC63
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=1075051 cov=28.8 corr=0 origname=NODE_1_length_1075051_cov_28.826179_pilon sw=shovill-spades/1.0.9 date=20210126	474305..475492	AY568960	MVC63
H_type	fliC	H31	100.0	1668 / 1668	contig00061 len=24346 cov=14.1 corr=0 origname=NODE_61_length_24346_cov_14.145877_pilon sw=shovill-spades/1.0.9 date=20210127	7231..8898	CP000247	SRR9051983
O_type	wzx	O83	100.0	1153 / 1443	contig00020 len=83260 cov=15.4 corr=0 origname=NODE_20_length_83260_cov_15.439597_pilon sw=shovill-spades/1.0.9 date=20210127	1..1153	AB812035	SRR9051983
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=229617 cov=30.2 corr=0 origname=NODE_8_length_229617_cov_30.245575_pilon sw=shovill-spades/1.0.9 date=20210126	19482..21149	CP000247	MVC460
O_type	wzx	O83	100.0	1443 / 1443	contig00008 len=229617 cov=30.2 corr=0 origname=NODE_8_length_229617_cov_30.245575_pilon sw=shovill-spades/1.0.9 date=20210126	188550..189992	AB812035	MVC460
H_type	fliC	H31	100.0	1668 / 1668	contig00015 len=123376 cov=26.5 corr=0 origname=NODE_15_length_123376_cov_26.473821_pilon sw=shovill-spades/1.0.9 date=20210127	102102..103769	CP000247	SRR12744020
O_type	wzx	O15	100.0	1245 / 1245	contig00004 len=372579 cov=27.1 corr=0 origname=NODE_4_length_372579_cov_27.118026_pilon sw=shovill-spades/1.0.9 date=20210127	338149..339393	AY647261	SRR12744020
O_type	wzy	O15	100.0	1179 / 1179	contig00004 len=372579 cov=27.1 corr=0 origname=NODE_4_length_372579_cov_27.118026_pilon sw=shovill-spades/1.0.9 date=20210127	340426..341604	AY647261	SRR12744020
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=457904 cov=33.4 corr=0 origname=NODE_2_length_457904_cov_33.355644_pilon sw=shovill-spades/1.0.9 date=20210126	52712..54379	CP000247	SRR12056274
O_type	wzx	O25	99.92	1261 / 1260	contig00009 len=166043 cov=34.1 corr=0 origname=NODE_9_length_166043_cov_34.075662_pilon sw=shovill-spades/1.0.9 date=20210126	33519..34779	GU014554	SRR12056274
O_type	wzy	O25	99.91	1063 / 1062	contig00009 len=166043 cov=34.1 corr=0 origname=NODE_9_length_166043_cov_34.075662_pilon sw=shovill-spades/1.0.9 date=20210126	30300..31362	GU014554	SRR12056274
H_type	fliC	H31	100.0	1668 / 1668	contig00025 len=54485 cov=21.3 corr=0 origname=NODE_25_length_54485_cov_21.312962_pilon sw=shovill-spades/1.0.9 date=20210127	20419..22086	CP000247	SRR12744054
O_type	wzx	O15	100.0	1245 / 1245	contig00013 len=130926 cov=22.0 corr=0 origname=NODE_13_length_130926_cov_21.952194_pilon sw=shovill-spades/1.0.9 date=20210127	746..1990	AY647261	SRR12744054
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=478444 cov=23.2 corr=0 origname=NODE_2_length_478444_cov_23.208387_pilon sw=shovill-spades/1.0.9 date=20210127	49409..51076	CP000247	SRR11080867
O_type	wzx	O75	97.39	920 / 1533	contig00029 len=41667 cov=25.3 corr=0 origname=NODE_29_length_41667_cov_25.339336_pilon sw=shovill-spades/1.0.9 date=20210127	1..920	GU299795	SRR11080867
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=588634 cov=29.0 corr=0 origname=NODE_1_length_588634_cov_29.048075_pilon sw=shovill-spades/1.0.9 date=20210126	174355..176022	CP000247	MVC252
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=588634 cov=29.0 corr=0 origname=NODE_1_length_588634_cov_29.048075_pilon sw=shovill-spades/1.0.9 date=20210126	5532..6974	AB812035	MVC252
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1229253 cov=28.6 corr=0 origname=NODE_1_length_1229253_cov_28.593114_pilon sw=shovill-spades/1.0.9 date=20210126	799611..801278	CP000247	MVC414
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=1229253 cov=28.6 corr=0 origname=NODE_1_length_1229253_cov_28.593114_pilon sw=shovill-spades/1.0.9 date=20210126	626374..627612	AY568960	MVC414
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=1229253 cov=28.6 corr=0 origname=NODE_1_length_1229253_cov_28.593114_pilon sw=shovill-spades/1.0.9 date=20210126	628508..629695	AY568960	MVC414
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1131379 cov=26.7 corr=0 origname=NODE_1_length_1131379_cov_26.718682_pilon sw=shovill-spades/1.0.9 date=20210126	750740..752407	CP000247	SRR11101262
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1131379 cov=26.7 corr=0 origname=NODE_1_length_1131379_cov_26.718682_pilon sw=shovill-spades/1.0.9 date=20210126	582166..583608	AB812035	SRR11101262
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=449041 cov=30.6 corr=0 origname=NODE_1_length_449041_cov_30.604185_pilon sw=shovill-spades/1.0.9 date=20210126	32369..34036	CP000247	SRR12744070
O_type	wzx	O83	100.0	1272 / 1443	contig00002 len=374982 cov=33.2 corr=0 origname=NODE_2_length_374982_cov_33.238436_pilon sw=shovill-spades/1.0.9 date=20210126	373711..374982	AB812035	SRR12744070
H_type	fliC	H31	100.0	1668 / 1668	contig00007 len=193448 cov=13.9 corr=0 origname=NODE_7_length_193448_cov_13.925797_pilon sw=shovill-spades/1.0.9 date=20210127	43745..45412	CP000247	SRR10597533
O_type	wzx	O15	100.0	1245 / 1245	contig00003 len=340855 cov=15.0 corr=1 origname=NODE_3_length_340855_cov_15.009800_pilon sw=shovill-spades/1.0.9 date=20210127	1403..2647	AY647261	SRR10597533
H_type	fliC	H14	96.79	1653 / 1653	contig00010 len=168180 cov=20.3 corr=0 origname=NODE_10_length_168180_cov_20.257627_pilon sw=shovill-spades/1.0.9 date=20210127	72896..74548	AY249998	SRR11080859
O_type	wzy	O21	100.0	1083 / 1083	contig00056 len=4599 cov=4.3 corr=1 origname=NODE_56_length_4599_cov_4.330725_pilon sw=shovill-spades/1.0.9 date=20210127	3078..4160	EU694098	SRR11080859
O_type	wzx	O21	100.0	789 / 1236	contig00056 len=4599 cov=4.3 corr=1 origname=NODE_56_length_4599_cov_4.330725_pilon sw=shovill-spades/1.0.9 date=20210127	1..789	EU694098	SRR11080859
H_type	fliC	H31	100.0	1668 / 1668	contig00010 len=168072 cov=31.7 corr=0 origname=NODE_10_length_168072_cov_31.710286_pilon sw=shovill-spades/1.0.9 date=20210126	134037..135704	CP000247	SRR9016900
O_type	wzx	O83	100.0	1443 / 1443	contig00003 len=271060 cov=35.4 corr=0 origname=NODE_3_length_271060_cov_35.360908_pilon sw=shovill-spades/1.0.9 date=20210126	269296..270738	AB812035	SRR9016900
O_type	wzy	O83	99.78	915 / 1236	contig00097 len=1856 cov=2.5 corr=0 origname=NODE_97_length_1856_cov_2.549451_pilon sw=shovill-spades/1.0.9 date=20210126	943..1856	AB812035	SRR9016900
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=497460 cov=21.6 corr=0 origname=NODE_2_length_497460_cov_21.561575_pilon sw=shovill-spades/1.0.9 date=20210127	67817..69484	CP000247	MVAST5048
O_type	wzx	O83	99.93	1443 / 1443	contig00001 len=573510 cov=23.1 corr=0 origname=NODE_1_length_573510_cov_23.116420_pilon sw=shovill-spades/1.0.9 date=20210127	429484..430926	AB812035	MVAST5048
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1214995 cov=18.6 corr=0 origname=NODE_1_length_1214995_cov_18.615361_pilon sw=shovill-spades/1.0.9 date=20210127	750987..752654	CP000247	SRR11043405
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1214995 cov=18.6 corr=0 origname=NODE_1_length_1214995_cov_18.615361_pilon sw=shovill-spades/1.0.9 date=20210127	582169..583611	AB812035	SRR11043405
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=203316 cov=28.7 corr=0 origname=NODE_8_length_203316_cov_28.712719_pilon sw=shovill-spades/1.0.9 date=20210126	181998..183665	CP000247	MVC780
O_type	wzx	O4	100.0	1239 / 1239	contig00003 len=485835 cov=28.1 corr=0 origname=NODE_3_length_485835_cov_28.114647_pilon sw=shovill-spades/1.0.9 date=20210126	432378..433616	AY568960	MVC780
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=485835 cov=28.1 corr=0 origname=NODE_3_length_485835_cov_28.114647_pilon sw=shovill-spades/1.0.9 date=20210126	434512..435699	AY568960	MVC780
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=568568 cov=24.9 corr=0 origname=NODE_2_length_568568_cov_24.929954_pilon sw=shovill-spades/1.0.9 date=20210127	384916..386583	CP000247	SRR12744032
O_type	wzx	O4	99.92	1239 / 1239	contig00003 len=344749 cov=24.2 corr=0 origname=NODE_3_length_344749_cov_24.190885_pilon sw=shovill-spades/1.0.9 date=20210127	331001..332239	AY568960	SRR12744032
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=344749 cov=24.2 corr=0 origname=NODE_3_length_344749_cov_24.190885_pilon sw=shovill-spades/1.0.9 date=20210127	333135..334322	AY568960	SRR12744032
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=493304 cov=30.0 corr=0 origname=NODE_2_length_493304_cov_29.960957_pilon sw=shovill-spades/1.0.9 date=20210126	61975..63642	CP000247	SRR10996857
O_type	wzx	O4	99.92	1239 / 1239	contig00004 len=353957 cov=32.4 corr=0 origname=NODE_4_length_353957_cov_32.423449_pilon sw=shovill-spades/1.0.9 date=20210126	340209..341447	AY568960	SRR10996857
O_type	wzy	O4	100.0	1188 / 1188	contig00004 len=353957 cov=32.4 corr=0 origname=NODE_4_length_353957_cov_32.423449_pilon sw=shovill-spades/1.0.9 date=20210126	342343..343530	AY568960	SRR10996857
H_type	fliC	H14	96.79	1653 / 1653	contig00003 len=501527 cov=22.0 corr=0 origname=NODE_3_length_501527_cov_22.045822_pilon sw=shovill-spades/1.0.9 date=20210126	393111..394763	AY249998	SRR11892864
O_type	wzx	O21	99.92	1236 / 1236	contig00002 len=651029 cov=25.1 corr=0 origname=NODE_2_length_651029_cov_25.145109_pilon sw=shovill-spades/1.0.9 date=20210126	619234..620469	EU694098	SRR11892864
O_type	wzy	O21	100.0	1083 / 1083	contig00002 len=651029 cov=25.1 corr=0 origname=NODE_2_length_651029_cov_25.145109_pilon sw=shovill-spades/1.0.9 date=20210126	622758..623840	EU694098	SRR11892864
H_type	fliC	H31	100.0	1668 / 1668	contig00022 len=70737 cov=21.8 corr=0 origname=NODE_22_length_70737_cov_21.773559_pilon sw=shovill-spades/1.0.9 date=20210127	21210..22877	CP000247	SRR10384563
O_type	wzx	O15	100.0	1245 / 1245	contig00012 len=163366 cov=23.3 corr=0 origname=NODE_12_length_163366_cov_23.283106_pilon sw=shovill-spades/1.0.9 date=20210127	33187..34431	AY647261	SRR10384563
O_type	wzy	O15	100.0	1179 / 1179	contig00012 len=163366 cov=23.3 corr=0 origname=NODE_12_length_163366_cov_23.283106_pilon sw=shovill-spades/1.0.9 date=20210127	30976..32154	AY647261	SRR10384563
H_type	fliC	H31	100.0	1668 / 1668	contig00011 len=145293 cov=24.8 corr=0 origname=NODE_11_length_145293_cov_24.786927_pilon sw=shovill-spades/1.0.9 date=20210127	124019..125686	CP000247	SRR10258156
O_type	wzx	O15	100.0	1245 / 1245	contig00010 len=163363 cov=26.4 corr=0 origname=NODE_10_length_163363_cov_26.436815_pilon sw=shovill-spades/1.0.9 date=20210127	128933..130177	AY647261	SRR10258156
O_type	wzy	O15	100.0	1179 / 1179	contig00010 len=163363 cov=26.4 corr=0 origname=NODE_10_length_163363_cov_26.436815_pilon sw=shovill-spades/1.0.9 date=20210127	131210..132388	AY647261	SRR10258156
H_type	fliC	H31	100.0	1668 / 1668	contig00016 len=77489 cov=17.1 corr=0 origname=NODE_16_length_77489_cov_17.053618_pilon sw=shovill-spades/1.0.9 date=20210127	20156..21823	CP000247	SRR11251331
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=617535 cov=24.8 corr=0 origname=NODE_2_length_617535_cov_24.822735_pilon sw=shovill-spades/1.0.9 date=20210127	33187..34431	AY647261	SRR11251331
O_type	wzy	O15	100.0	1179 / 1179	contig00002 len=617535 cov=24.8 corr=0 origname=NODE_2_length_617535_cov_24.822735_pilon sw=shovill-spades/1.0.9 date=20210127	30976..32154	AY647261	SRR11251331
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=229612 cov=28.5 corr=0 origname=NODE_8_length_229612_cov_28.549723_pilon sw=shovill-spades/1.0.9 date=20210126	19493..21160	CP000247	MVC93
O_type	wzx	O83	100.0	1443 / 1443	contig00008 len=229612 cov=28.5 corr=0 origname=NODE_8_length_229612_cov_28.549723_pilon sw=shovill-spades/1.0.9 date=20210126	188549..189991	AB812035	MVC93
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=559834 cov=34.8 corr=0 origname=NODE_1_length_559834_cov_34.786951_pilon sw=shovill-spades/1.0.9 date=20210125	427578..429245	CP000247	SRR11668375
O_type	wzx	O25	100.0	1260 / 1260	contig00004 len=428668 cov=34.3 corr=0 origname=NODE_4_length_428668_cov_34.336401_pilon sw=shovill-spades/1.0.9 date=20210125	34679..35938	GU014554	SRR11668375
O_type	wzy	O25	99.91	1063 / 1062	contig00004 len=428668 cov=34.3 corr=0 origname=NODE_4_length_428668_cov_34.336401_pilon sw=shovill-spades/1.0.9 date=20210125	31460..32522	GU014554	SRR11668375
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1178628 cov=22.8 corr=0 origname=NODE_1_length_1178628_cov_22.780545_pilon sw=shovill-spades/1.0.9 date=20210126	384916..386583	CP000247	SRR11451393
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1178628 cov=22.8 corr=0 origname=NODE_1_length_1178628_cov_22.780545_pilon sw=shovill-spades/1.0.9 date=20210126	554034..555476	AB812035	SRR11451393
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=519510 cov=30.9 corr=0 origname=NODE_1_length_519510_cov_30.906387_pilon sw=shovill-spades/1.0.9 date=20210126	474867..476534	CP000247	SRR11101259
O_type	wzx	O83	99.93	1363 / 1443	contig00008 len=193324 cov=35.1 corr=0 origname=NODE_8_length_193324_cov_35.062429_pilon sw=shovill-spades/1.0.9 date=20210126	191962..193324	AB812035	SRR11101259
H_type	fliC	H31	100.0	1668 / 1668	contig00017 len=90189 cov=21.3 corr=0 origname=NODE_17_length_90189_cov_21.342453_pilon sw=shovill-spades/1.0.9 date=20210127	68378..70045	CP000247	SRR12825270
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=682864 cov=23.3 corr=0 origname=NODE_1_length_682864_cov_23.285338_pilon sw=shovill-spades/1.0.9 date=20210127	582161..583603	AB812035	SRR12825270
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1752046 cov=16.3 corr=0 origname=NODE_1_length_1752046_cov_16.250478_pilon sw=shovill-spades/1.0.9 date=20210127	864276..865943	CP000247	SRR11043404
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1752046 cov=16.3 corr=0 origname=NODE_1_length_1752046_cov_16.250478_pilon sw=shovill-spades/1.0.9 date=20210127	695440..696882	AB812035	SRR11043404
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=472047 cov=26.3 corr=0 origname=NODE_2_length_472047_cov_26.308571_pilon sw=shovill-spades/1.0.9 date=20210126	43074..44741	CP000247	SRR9301059
O_type	wzx	O83	100.0	1443 / 1443	contig00012 len=143853 cov=28.8 corr=1 origname=NODE_12_length_143853_cov_28.772720_pilon sw=shovill-spades/1.0.9 date=20210126	2778..4220	AB812035	SRR9301059
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=813310 cov=34.6 corr=0 origname=NODE_1_length_813310_cov_34.574058_pilon sw=shovill-spades/1.0.9 date=20210126	19668..21335	CP000247	SRR11783284
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=813310 cov=34.6 corr=0 origname=NODE_1_length_813310_cov_34.574058_pilon sw=shovill-spades/1.0.9 date=20210126	188700..190142	AB812035	SRR11783284
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=560815 cov=26.2 corr=1 origname=NODE_1_length_560815_cov_26.198017_pilon sw=shovill-spades/1.0.9 date=20210127	148655..150322	CP000247	SRR12744034
O_type	wzy	O21	100.0	1069 / 1083	contig00037 len=25399 cov=26.4 corr=0 origname=NODE_37_length_25399_cov_26.430753_pilon sw=shovill-spades/1.0.9 date=20210127	24331..25399	EU694098	SRR12744034
H_type	fliC	H14	96.79	1653 / 1653	contig00001 len=470337 cov=27.7 corr=0 origname=NODE_1_length_470337_cov_27.728360_pilon sw=shovill-spades/1.0.9 date=20210126	361265..362917	AY249998	MVC426
O_type	wzx	O21	99.92	1236 / 1236	contig00002 len=461823 cov=28.2 corr=0 origname=NODE_2_length_461823_cov_28.188830_pilon sw=shovill-spades/1.0.9 date=20210126	430356..431591	EU694098	MVC426
O_type	wzy	O21	100.0	1083 / 1083	contig00002 len=461823 cov=28.2 corr=0 origname=NODE_2_length_461823_cov_28.188830_pilon sw=shovill-spades/1.0.9 date=20210126	433880..434962	EU694098	MVC426
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=470539 cov=22.7 corr=0 origname=NODE_4_length_470539_cov_22.665464_pilon sw=shovill-spades/1.0.9 date=20210127	385285..386952	CP000247	MVAST7341
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=750838 cov=23.8 corr=0 origname=NODE_1_length_750838_cov_23.785407_pilon sw=shovill-spades/1.0.9 date=20210127	616330..617772	AB812035	MVAST7341
H_type	fliC	H31	100.0	1668 / 1668	contig00009 len=239009 cov=27.3 corr=0 origname=NODE_9_length_239009_cov_27.327809_pilon sw=shovill-spades/1.0.9 date=20210126	216154..217821	CP000247	MVC499
O_type	wzx	O4	100.0	1239 / 1239	contig00009 len=239009 cov=27.3 corr=0 origname=NODE_9_length_239009_cov_27.327809_pilon sw=shovill-spades/1.0.9 date=20210126	42919..44157	AY568960	MVC499
O_type	wzy	O4	100.0	1188 / 1188	contig00009 len=239009 cov=27.3 corr=0 origname=NODE_9_length_239009_cov_27.327809_pilon sw=shovill-spades/1.0.9 date=20210126	45053..46240	AY568960	MVC499
H_type	fliC	H31	100.0	1668 / 1668	contig00008 len=203386 cov=30.6 corr=0 origname=NODE_8_length_203386_cov_30.604219_pilon sw=shovill-spades/1.0.9 date=20210127	19668..21335	CP000247	SRR12395469
O_type	wzx	O4	99.92	1239 / 1239	contig00002 len=597656 cov=33.0 corr=0 origname=NODE_2_length_597656_cov_33.025006_pilon sw=shovill-spades/1.0.9 date=20210127	12511..13749	AY568960	SRR12395469
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=597656 cov=33.0 corr=0 origname=NODE_2_length_597656_cov_33.025006_pilon sw=shovill-spades/1.0.9 date=20210127	10428..11615	AY568960	SRR12395469
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=611656 cov=15.0 corr=0 origname=NODE_4_length_611656_cov_14.968003_pilon sw=shovill-spades/1.0.9 date=20210127	181997..183664	CP000247	SRR11892812
O_type	wzy	O18	99.92	1191 / 1191	contig00003 len=634102 cov=15.2 corr=0 origname=NODE_3_length_634102_cov_15.213691_pilon sw=shovill-spades/1.0.9 date=20210127	587155..588345	GU299793	SRR11892812
O_type	wzx	O18ac	99.84	1248 / 1248	contig00003 len=634102 cov=15.2 corr=0 origname=NODE_3_length_634102_cov_15.213691_pilon sw=shovill-spades/1.0.9 date=20210127	585851..587098	GU299793	SRR11892812
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611415 cov=27.5 corr=0 origname=NODE_1_length_611415_cov_27.499540_pilon sw=shovill-spades/1.0.9 date=20210126	181970..183637	CP000247	MVC374
O_type	wzx	O4	100.0	1239 / 1239	contig00002 len=526583 cov=28.5 corr=0 origname=NODE_2_length_526583_cov_28.486618_pilon sw=shovill-spades/1.0.9 date=20210126	473126..474364	AY568960	MVC374
O_type	wzy	O4	100.0	1188 / 1188	contig00002 len=526583 cov=28.5 corr=0 origname=NODE_2_length_526583_cov_28.486618_pilon sw=shovill-spades/1.0.9 date=20210126	475260..476447	AY568960	MVC374
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=870586 cov=31.2 corr=0 origname=NODE_1_length_870586_cov_31.150548_pilon sw=shovill-spades/1.0.9 date=20210126	462535..464202	CP000247	SRR10257977
O_type	wzx	O4	100.0	1239 / 1239	contig00003 len=643517 cov=33.7 corr=0 origname=NODE_3_length_643517_cov_33.712924_pilon sw=shovill-spades/1.0.9 date=20210126	57852..59090	AY568960	SRR10257977
O_type	wzy	O4	100.0	1188 / 1188	contig00003 len=643517 cov=33.7 corr=0 origname=NODE_3_length_643517_cov_33.712924_pilon sw=shovill-spades/1.0.9 date=20210126	55769..56956	AY568960	SRR10257977
H_type	fliC	H31	100.0	1668 / 1668	contig00005 len=264493 cov=25.1 corr=0 origname=NODE_5_length_264493_cov_25.071994_pilon sw=shovill-spades/1.0.9 date=20210127	155469..157136	CP000247	SRR3050915
O_type	wzy	O18	100.0	1191 / 1191	contig00003 len=364047 cov=27.9 corr=0 origname=NODE_3_length_364047_cov_27.861956_pilon sw=shovill-spades/1.0.9 date=20210127	3694..4884	GU299793	SRR3050915
O_type	wzy	O18ac	100.0	1146 / 1146	contig00003 len=364047 cov=27.9 corr=0 origname=NODE_3_length_364047_cov_27.861956_pilon sw=shovill-spades/1.0.9 date=20210127	3694..4839	AB811603	SRR3050915
O_type	wzx	O18ac	100.0	1248 / 1248	contig00003 len=364047 cov=27.9 corr=0 origname=NODE_3_length_364047_cov_27.861956_pilon sw=shovill-spades/1.0.9 date=20210127	4941..6188	GU299793	SRR3050915
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=1136535 cov=37.0 corr=0 origname=NODE_2_length_1136535_cov_36.997496_pilon sw=shovill-spades/1.0.9 date=20210126	750976..752643	CP000247	SRR7638091
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=1136535 cov=37.0 corr=0 origname=NODE_2_length_1136535_cov_36.997496_pilon sw=shovill-spades/1.0.9 date=20210126	582139..583581	AB812035	SRR7638091
O_type	wzy	O83	100.0	1236 / 1236	contig00002 len=1136535 cov=37.0 corr=0 origname=NODE_2_length_1136535_cov_36.997496_pilon sw=shovill-spades/1.0.9 date=20210126	583578..584813	AB812035	SRR7638091
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=500462 cov=21.8 corr=0 origname=NODE_4_length_500462_cov_21.822251_pilon sw=shovill-spades/1.0.9 date=20210126	32441..34108	CP000247	SRR7765064
